,a,b,c,d
5052,22,57,6,85.0
5053,3,45,47,95.0
5054,54,35,27,116.0
5055,54,18,45,117.0
5056,27,40,13,80.0
5057,53,36,64,153.0
5058,98,4,32,134.0
5059,29,74,99,202.0
5060,27,74,47,148.0
5061,91,50,98,239.0
5062,82,47,29,158.0
5063,83,37,37,157.0
5064,4,7,33,44.0
5065,49,65,62,176.0
5066,37,97,76,210.0
5067,78,57,5,140.0
5068,37,79,97,213.0
5069,40,41,66,147.0
5070,55,90,43,188.0
5071,6,80,75,161.0
5072,74,50,82,206.0
5073,84,61,25,170.0
5074,75,24,91,190.0
5075,77,17,12,106.0
5076,21,87,37,145.0
5077,68,14,21,103.0
5078,56,80,18,154.0
5079,30,88,12,130.0
5080,23,94,66,183.0
5081,42,8,5,55.0
5082,0,84,2,86.0
5083,19,19,21,59.0
5084,71,38,55,164.0
5085,62,59,25,146.0
5086,25,72,2,99.0
5087,8,8,69,85.0
5088,39,23,79,141.0
5089,78,60,31,169.0
5090,70,47,43,160.0
5091,19,83,57,159.0
5092,19,38,42,99.0
5093,98,24,63,185.0
5094,68,64,74,206.0
5095,86,25,49,160.0
5096,44,21,56,121.0
5097,91,96,71,258.0
5098,60,35,40,135.0
5099,4,98,92,194.0
5100,9,69,17,95.0
5101,51,60,7,118.0
5102,79,93,6,178.0
5103,11,24,51,86.0
5104,4,97,24,125.0
5105,72,42,58,172.0
5106,33,10,12,55.0
5107,86,75,29,190.0
5108,30,32,28,90.0
5109,44,16,91,151.0
5110,52,92,40,184.0
5111,36,79,64,179.0
5112,52,41,11,104.0
5113,16,20,23,59.0
5114,87,41,81,209.0
5115,86,33,33,152.0
5116,36,88,85,209.0
5117,53,76,60,189.0
5118,80,92,35,207.0
5119,39,62,2,103.0
5120,58,35,14,107.0
5121,27,31,92,150.0
5122,41,61,5,107.0
5123,54,98,16,168.0
5124,19,91,9,119.0
5125,67,92,95,254.0
5126,56,23,93,172.0
5127,66,97,43,206.0
5128,9,37,45,91.0
5129,45,5,49,99.0
5130,98,75,70,243.0
5131,45,82,8,135.0
5132,34,79,9,122.0
5133,36,89,57,182.0
5134,24,48,90,162.0
5135,0,37,18,55.0
5136,35,52,95,182.0
5137,61,52,46,159.0
5138,68,30,73,171.0
5139,15,1,32,48.0
5140,44,7,4,55.0
5141,60,11,77,148.0
5142,75,64,43,182.0
5143,60,28,18,106.0
5144,25,92,62,179.0
5145,59,79,35,173.0
5146,97,71,15,183.0
5147,38,60,97,195.0
5148,53,5,51,109.0
5149,73,23,78,174.0
5150,46,22,46,114.0
5151,89,1,64,154.0
5152,47,73,36,156.0
5153,36,27,52,115.0
5154,88,46,45,179.0
5155,78,16,36,130.0
5156,91,70,77,238.0
5157,11,54,1,66.0
5158,72,72,83,227.0
5159,82,3,31,116.0
5160,86,77,84,247.0
5161,24,19,36,79.0
5162,64,73,58,195.0
5163,28,3,57,88.0
5164,74,66,44,184.0
5165,43,17,90,150.0
5166,78,43,58,179.0
5167,52,25,84,161.0
5168,76,8,20,104.0
5169,29,7,71,107.0
5170,59,46,49,154.0
5171,67,74,85,226.0
5172,38,0,96,134.0
5173,73,51,69,193.0
5174,97,61,50,208.0
5175,65,98,32,195.0
5176,29,37,88,154.0
5177,75,90,18,183.0
5178,53,92,5,150.0
5179,58,5,69,132.0
5180,23,10,80,113.0
5181,97,23,86,206.0
5182,26,58,8,92.0
5183,37,15,12,64.0
5184,11,59,19,89.0
5185,36,7,92,135.0
5186,37,16,39,92.0
5187,70,42,96,208.0
5188,80,37,57,174.0
5189,86,40,75,201.0
5190,61,75,67,203.0
5191,37,88,59,184.0
5192,75,18,4,97.0
5193,72,27,16,115.0
5194,20,3,96,119.0
5195,94,30,76,200.0
5196,67,28,35,130.0
5197,58,25,80,163.0
5198,30,17,26,73.0
5199,9,92,86,187.0
5200,40,40,40,120.0
5201,76,98,81,255.0
5202,4,85,78,167.0
5203,93,73,28,194.0
5204,34,85,47,166.0
5205,2,51,29,82.0
5206,68,82,36,186.0
5207,84,54,98,236.0
5208,18,96,71,185.0
5209,46,37,27,110.0
5210,72,78,77,227.0
5211,17,32,62,111.0
5212,34,1,11,46.0
5213,33,49,29,111.0
5214,41,80,75,196.0
5215,11,71,15,97.0
5216,65,69,44,178.0
5217,71,78,73,222.0
5218,19,67,83,169.0
5219,49,87,62,198.0
5220,56,84,39,179.0
5221,27,89,48,164.0
5222,53,68,68,189.0
5223,11,60,72,143.0
5224,91,3,70,164.0
5225,96,17,33,146.0
5226,43,61,17,121.0
5227,34,0,41,75.0
5228,58,4,18,80.0
5229,67,72,8,147.0
5230,46,37,83,166.0
5231,18,27,72,117.0
5232,78,56,19,153.0
5233,60,85,95,240.0
5234,70,74,29,173.0
5235,15,42,44,101.0
5236,50,63,29,142.0
5237,20,40,7,67.0
5238,95,5,63,163.0
5239,15,51,71,137.0
5240,48,19,28,95.0
5241,58,8,18,84.0
5242,31,28,57,116.0
5243,28,22,73,123.0
5244,3,1,19,23.0
5245,48,0,22,70.0
5246,41,11,49,101.0
5247,67,15,20,102.0
5248,51,22,62,135.0
5249,9,73,81,163.0
5250,71,36,19,126.0
5251,77,10,71,158.0
5252,81,76,77,234.0
5253,85,20,39,144.0
5254,73,34,11,118.0
5255,6,14,6,26.0
5256,59,82,80,221.0
5257,96,53,22,171.0
5258,68,48,73,189.0
5259,24,69,58,151.0
5260,64,16,93,173.0
5261,51,17,72,140.0
5262,1,52,46,99.0
5263,89,34,18,141.0
5264,45,19,31,95.0
5265,80,44,74,198.0
5266,72,97,52,221.0
5267,68,66,27,161.0
5268,16,68,65,149.0
5269,22,78,89,189.0
5270,39,63,44,146.0
5271,2,28,76,106.0
5272,99,94,58,251.0
5273,95,3,7,105.0
5274,73,30,5,108.0
5275,14,62,96,172.0
5276,88,59,69,216.0
5277,10,62,55,127.0
5278,90,81,74,245.0
5279,11,70,64,145.0
5280,47,32,87,166.0
5281,42,76,22,140.0
5282,14,33,46,93.0
5283,99,44,59,202.0
5284,63,52,28,143.0
5285,89,39,86,214.0
5286,55,13,24,92.0
5287,84,32,40,156.0
5288,42,34,68,144.0
5289,24,80,87,191.0
5290,76,23,75,174.0
5291,37,71,35,143.0
5292,56,76,65,197.0
5293,6,73,40,119.0
5294,89,58,12,159.0
5295,98,23,51,172.0
5296,71,87,57,215.0
5297,44,0,61,105.0
5298,24,83,47,154.0
5299,3,8,72,83.0
5300,86,21,24,131.0
5301,78,66,2,146.0
5302,46,69,20,135.0
5303,11,86,41,138.0
5304,61,70,98,229.0
5305,56,65,4,125.0
5306,18,56,98,172.0
5307,37,99,82,218.0
5308,18,47,36,101.0
5309,47,22,70,139.0
5310,62,77,17,156.0
5311,84,36,79,199.0
5312,79,25,93,197.0
5313,96,79,39,214.0
5314,56,36,93,185.0
5315,14,34,18,66.0
5316,47,23,93,163.0
5317,33,0,50,83.0
5318,94,87,94,275.0
5319,4,42,54,100.0
5320,53,37,67,157.0
5321,13,56,92,161.0
5322,92,45,5,142.0
5323,33,44,2,79.0
5324,52,14,30,96.0
5325,42,61,68,171.0
5326,28,25,82,135.0
5327,87,53,8,148.0
5328,17,74,86,177.0
5329,91,83,96,270.0
5330,89,68,45,202.0
5331,13,43,26,82.0
5332,46,18,86,150.0
5333,46,30,31,107.0
5334,54,1,23,78.0
5335,47,87,67,201.0
5336,86,49,95,230.0
5337,27,33,77,137.0
5338,49,16,9,74.0
5339,7,75,52,134.0
5340,34,75,7,116.0
5341,90,14,97,201.0
5342,29,8,5,42.0
5343,36,92,23,151.0
5344,50,39,6,95.0
5345,55,14,32,101.0
5346,84,30,16,130.0
5347,2,66,35,103.0
5348,58,14,80,152.0
5349,78,30,81,189.0
5350,41,85,52,178.0
5351,50,91,93,234.0
5352,63,43,90,196.0
5353,44,41,51,136.0
5354,82,83,85,250.0
5355,27,20,3,50.0
5356,19,25,75,119.0
5357,31,39,36,106.0
5358,74,25,6,105.0
5359,74,89,89,252.0
5360,60,69,89,218.0
5361,79,63,25,167.0
5362,95,11,59,165.0
5363,77,66,61,204.0
5364,20,16,10,46.0
5365,12,63,15,90.0
5366,13,72,80,165.0
5367,81,99,27,207.0
5368,6,33,42,81.0
5369,88,70,7,165.0
5370,51,1,62,114.0
5371,88,65,58,211.0
5372,34,44,93,171.0
5373,4,1,51,56.0
5374,99,79,95,273.0
5375,20,3,67,90.0
5376,13,33,75,121.0
5377,69,72,21,162.0
5378,0,61,91,152.0
5379,58,66,58,182.0
5380,19,46,11,76.0
5381,84,52,9,145.0
5382,30,39,48,117.0
5383,16,58,96,170.0
5384,79,15,88,182.0
5385,9,2,3,14.0
5386,48,83,73,204.0
5387,16,44,48,108.0
5388,82,18,59,159.0
5389,94,64,78,236.0
5390,99,9,8,116.0
5391,21,97,38,156.0
5392,61,43,72,176.0
5393,66,31,16,113.0
5394,74,32,73,179.0
5395,84,93,81,258.0
5396,54,16,22,92.0
5397,13,17,65,95.0
5398,24,48,6,78.0
5399,5,45,27,77.0
5400,87,29,52,168.0
5401,72,95,16,183.0
5402,8,79,71,158.0
5403,53,74,66,193.0
5404,45,39,26,110.0
5405,90,6,49,145.0
5406,71,87,69,227.0
5407,69,61,72,202.0
5408,48,81,37,166.0
5409,26,5,93,124.0
5410,47,99,1,147.0
5411,90,81,74,245.0
5412,23,46,78,147.0
5413,52,81,24,157.0
5414,23,59,86,168.0
5415,25,96,66,187.0
5416,39,87,99,225.0
5417,16,19,40,75.0
5418,49,59,47,155.0
5419,3,85,4,92.0
5420,33,64,19,116.0
5421,54,39,6,99.0
5422,86,17,60,163.0
5423,40,98,33,171.0
5424,98,50,39,187.0
5425,36,17,34,87.0
5426,72,53,68,193.0
5427,49,59,41,149.0
5428,33,9,34,76.0
5429,32,81,37,150.0
5430,91,14,39,144.0
5431,78,88,17,183.0
5432,73,82,72,227.0
5433,85,93,94,272.0
5434,23,66,20,109.0
5435,85,59,30,174.0
5436,78,36,39,153.0
5437,46,1,91,138.0
5438,49,59,45,153.0
5439,44,8,53,105.0
5440,30,69,27,126.0
5441,35,70,92,197.0
5442,29,0,8,37.0
5443,55,35,99,189.0
5444,5,32,51,88.0
5445,22,89,76,187.0
5446,96,62,40,198.0
5447,68,96,12,176.0
5448,18,92,13,123.0
5449,47,83,38,168.0
5450,5,32,38,75.0
5451,83,42,5,130.0
5452,52,35,42,129.0
5453,49,17,84,150.0
5454,90,98,17,205.0
5455,41,55,63,159.0
5456,56,38,66,160.0
5457,99,20,89,208.0
5458,48,67,43,158.0
5459,4,40,97,141.0
5460,34,21,99,154.0
5461,46,3,86,135.0
5462,96,39,85,220.0
5463,70,12,22,104.0
5464,51,67,79,197.0
5465,23,52,55,130.0
5466,37,61,42,140.0
5467,67,17,67,151.0
5468,85,80,33,198.0
5469,73,50,36,159.0
5470,5,29,15,49.0
5471,19,32,21,72.0
5472,70,56,77,203.0
5473,78,37,51,166.0
5474,79,73,73,225.0
5475,73,44,27,144.0
5476,64,45,2,111.0
5477,14,7,38,59.0
5478,58,6,24,88.0
5479,69,44,48,161.0
5480,4,5,56,65.0
5481,28,35,10,73.0
5482,95,54,8,157.0
5483,27,97,80,204.0
5484,23,85,27,135.0
5485,35,2,88,125.0
5486,2,90,22,114.0
5487,55,73,99,227.0
5488,87,42,75,204.0
5489,99,49,36,184.0
5490,23,93,35,151.0
5491,72,60,51,183.0
5492,64,36,64,164.0
5493,76,91,44,211.0
5494,90,89,1,180.0
5495,65,46,19,130.0
5496,83,33,31,147.0
5497,34,17,75,126.0
5498,39,87,48,174.0
5499,89,60,39,188.0
5500,98,61,60,219.0
5501,13,75,1,89.0
5502,96,22,43,161.0
5503,62,59,74,195.0
5504,19,28,78,125.0
5505,80,89,34,203.0
5506,20,5,46,71.0
5507,60,1,75,136.0
5508,74,21,68,163.0
5509,64,91,85,240.0
5510,99,52,74,225.0
5511,91,6,33,130.0
5512,5,22,69,96.0
5513,57,34,17,108.0
5514,5,43,62,110.0
5515,28,48,16,92.0
5516,94,53,6,153.0
5517,25,3,79,107.0
5518,20,89,71,180.0
5519,88,45,60,193.0
5520,29,59,59,147.0
5521,23,49,89,161.0
5522,33,72,36,141.0
5523,9,32,35,76.0
5524,32,96,35,163.0
5525,65,54,75,194.0
5526,37,83,49,169.0
5527,98,39,8,145.0
5528,18,97,34,149.0
5529,39,63,64,166.0
5530,87,14,1,102.0
5531,68,71,60,199.0
5532,33,0,91,124.0
5533,4,33,33,70.0
5534,33,79,35,147.0
5535,28,58,39,125.0
5536,17,49,88,154.0
5537,30,9,79,118.0
5538,12,15,53,80.0
5539,96,98,96,290.0
5540,78,57,21,156.0
5541,67,99,56,222.0
5542,54,26,59,139.0
5543,62,84,15,161.0
5544,91,65,74,230.0
5545,55,99,27,181.0
5546,40,31,53,124.0
5547,37,0,0,37.0
5548,21,99,81,201.0
5549,0,19,74,93.0
5550,54,40,28,122.0
5551,27,21,6,54.0
5552,41,33,82,156.0
5553,98,82,28,208.0
5554,22,49,68,139.0
5555,97,83,79,259.0
5556,92,14,39,145.0
5557,66,61,5,132.0
5558,53,65,0,118.0
5559,33,10,26,69.0
5560,39,53,58,150.0
5561,0,12,1,13.0
5562,4,54,25,83.0
5563,21,87,48,156.0
5564,60,9,25,94.0
5565,55,57,0,112.0
5566,91,64,99,254.0
5567,9,5,70,84.0
5568,15,98,21,134.0
5569,75,65,40,180.0
5570,94,62,44,200.0
5571,99,5,42,146.0
5572,26,24,85,135.0
5573,70,84,60,214.0
5574,13,76,84,173.0
5575,25,50,68,143.0
5576,74,30,22,126.0
5577,0,49,89,138.0
5578,93,24,92,209.0
5579,19,14,74,107.0
5580,19,5,84,108.0
5581,85,29,72,186.0
5582,88,52,76,216.0
5583,62,28,50,140.0
5584,17,35,48,100.0
5585,25,54,81,160.0
5586,5,15,78,98.0
5587,59,91,66,216.0
5588,76,42,98,216.0
5589,69,40,56,165.0
5590,54,81,95,230.0
5591,19,96,32,147.0
5592,91,66,84,241.0
5593,79,81,28,188.0
5594,47,27,46,120.0
5595,3,34,84,121.0
5596,16,76,49,141.0
5597,5,63,92,160.0
5598,47,53,17,117.0
5599,56,74,85,215.0
5600,29,9,16,54.0
5601,27,34,25,86.0
5602,9,87,30,126.0
5603,94,6,29,129.0
5604,44,85,79,208.0
5605,7,75,9,91.0
5606,75,40,29,144.0
5607,15,36,60,111.0
5608,10,77,20,107.0
5609,74,50,79,203.0
5610,94,21,59,174.0
5611,47,95,14,156.0
5612,89,65,11,165.0
5613,64,16,95,175.0
5614,93,59,53,205.0
5615,65,17,28,110.0
5616,30,19,51,100.0
5617,16,34,75,125.0
5618,95,68,22,185.0
5619,97,92,94,283.0
5620,3,84,86,173.0
5621,3,88,97,188.0
5622,36,64,21,121.0
5623,45,95,60,200.0
5624,76,82,7,165.0
5625,47,11,83,141.0
5626,3,36,41,80.0
5627,26,17,63,106.0
5628,91,12,24,127.0
5629,88,35,43,166.0
5630,13,79,19,111.0
5631,54,56,75,185.0
5632,31,20,42,93.0
5633,49,82,52,183.0
5634,92,96,43,231.0
5635,68,37,24,129.0
5636,89,20,54,163.0
5637,20,11,46,77.0
5638,50,94,80,224.0
5639,5,33,90,128.0
5640,89,9,65,163.0
5641,49,44,88,181.0
5642,22,83,75,180.0
5643,40,20,72,132.0
5644,97,99,61,257.0
5645,54,47,28,129.0
5646,42,92,77,211.0
5647,73,27,19,119.0
5648,86,31,33,150.0
5649,88,23,34,145.0
5650,41,49,97,187.0
5651,71,52,99,222.0
5652,89,87,83,259.0
5653,92,29,50,171.0
5654,1,0,84,85.0
5655,19,30,17,66.0
5656,96,49,83,228.0
5657,60,7,61,128.0
5658,49,61,55,165.0
5659,91,47,29,167.0
5660,29,24,35,88.0
5661,3,43,84,130.0
5662,78,44,38,160.0
5663,57,98,42,197.0
5664,80,37,15,132.0
5665,39,2,91,132.0
5666,33,39,68,140.0
5667,30,3,49,82.0
5668,46,74,6,126.0
5669,92,70,49,211.0
5670,72,24,89,185.0
5671,18,28,27,73.0
5672,98,49,17,164.0
5673,55,59,25,139.0
5674,4,33,15,52.0
5675,7,10,49,66.0
5676,26,7,92,125.0
5677,44,67,11,122.0
5678,95,45,28,168.0
5679,60,27,24,111.0
5680,80,20,0,100.0
5681,66,21,26,113.0
5682,30,34,99,163.0
5683,58,93,16,167.0
5684,46,15,38,99.0
5685,3,77,59,139.0
5686,20,11,79,110.0
5687,52,46,14,112.0
5688,18,96,72,186.0
5689,23,23,65,111.0
5690,75,54,19,148.0
5691,92,28,66,186.0
5692,82,14,90,186.0
5693,90,6,28,124.0
5694,22,56,10,88.0
5695,42,13,36,91.0
5696,48,5,86,139.0
5697,40,28,88,156.0
5698,39,90,46,175.0
5699,0,21,94,115.0
5700,90,57,28,175.0
5701,65,49,88,202.0
5702,1,12,64,77.0
5703,7,72,89,168.0
5704,12,58,33,103.0
5705,19,57,39,115.0
5706,13,36,27,76.0
5707,51,68,13,132.0
5708,2,90,64,156.0
5709,35,93,62,190.0
5710,93,24,82,199.0
5711,90,65,82,237.0
5712,36,69,66,171.0
5713,75,55,70,200.0
5714,65,58,42,165.0
5715,11,66,46,123.0
5716,72,88,77,237.0
5717,75,92,99,266.0
5718,38,63,84,185.0
5719,10,83,36,129.0
5720,35,94,98,227.0
5721,88,92,56,236.0
5722,82,81,17,180.0
5723,35,31,29,95.0
5724,11,48,2,61.0
5725,64,41,92,197.0
5726,71,28,0,99.0
5727,1,94,86,181.0
5728,21,78,54,153.0
5729,84,97,68,249.0
5730,44,48,95,187.0
5731,20,46,78,144.0
5732,14,0,64,78.0
5733,30,88,5,123.0
5734,99,1,35,135.0
5735,41,54,19,114.0
5736,89,39,9,137.0
5737,52,17,86,155.0
5738,25,55,26,106.0
5739,2,83,88,173.0
5740,60,80,99,239.0
5741,46,77,82,205.0
5742,47,51,49,147.0
5743,18,73,50,141.0
5744,51,3,47,101.0
5745,16,69,83,168.0
5746,89,9,58,156.0
5747,54,75,16,145.0
5748,66,2,5,73.0
5749,54,32,15,101.0
5750,28,32,87,147.0
5751,99,77,60,236.0
5752,71,6,72,149.0
5753,51,46,59,156.0
5754,0,47,99,146.0
5755,81,35,81,197.0
5756,20,48,25,93.0
5757,11,1,33,45.0
5758,95,55,35,185.0
5759,36,89,38,163.0
5760,56,6,33,95.0
5761,99,75,66,240.0
5762,95,15,97,207.0
5763,72,3,75,150.0
5764,6,55,31,92.0
5765,76,30,5,111.0
5766,76,45,33,154.0
5767,82,4,47,133.0
5768,79,88,28,195.0
5769,63,1,38,102.0
5770,47,19,93,159.0
5771,98,21,65,184.0
5772,20,43,33,96.0
5773,98,17,48,163.0
5774,74,33,88,195.0
5775,77,36,29,142.0
5776,23,70,3,96.0
5777,62,87,97,246.0
5778,48,49,0,97.0
5779,34,21,20,75.0
5780,32,30,23,85.0
5781,64,1,28,93.0
5782,20,43,36,99.0
5783,48,33,22,103.0
5784,25,19,41,85.0
5785,74,94,45,213.0
5786,30,65,54,149.0
5787,32,89,56,177.0
5788,15,86,9,110.0
5789,89,95,69,253.0
5790,59,18,12,89.0
5791,43,60,8,111.0
5792,26,7,85,118.0
5793,40,69,60,169.0
5794,81,81,22,184.0
5795,79,88,81,248.0
5796,16,47,83,146.0
5797,78,43,52,173.0
5798,43,62,29,134.0
5799,76,25,15,116.0
5800,8,54,62,124.0
5801,2,43,74,119.0
5802,19,97,26,142.0
5803,18,12,86,116.0
5804,62,51,24,137.0
5805,78,7,25,110.0
5806,18,58,98,174.0
5807,49,65,2,116.0
5808,59,90,78,227.0
5809,48,11,86,145.0
5810,51,27,26,104.0
5811,49,87,71,207.0
5812,22,73,7,102.0
5813,43,59,11,113.0
5814,10,40,17,67.0
5815,33,46,34,113.0
5816,53,69,85,207.0
5817,69,24,15,108.0
5818,60,37,48,145.0
5819,28,59,78,165.0
5820,36,32,25,93.0
5821,1,16,2,19.0
5822,66,87,25,178.0
5823,89,98,24,211.0
5824,48,58,8,114.0
5825,63,44,61,168.0
5826,12,3,82,97.0
5827,57,68,2,127.0
5828,81,91,43,215.0
5829,84,95,84,263.0
5830,58,33,65,156.0
5831,40,51,94,185.0
5832,96,96,41,233.0
5833,90,57,99,246.0
5834,36,77,94,207.0
5835,29,6,31,66.0
5836,8,80,53,141.0
5837,65,22,74,161.0
5838,89,97,62,248.0
5839,18,2,86,106.0
5840,88,23,2,113.0
5841,91,61,40,192.0
5842,10,66,2,78.0
5843,16,15,2,33.0
5844,6,97,15,118.0
5845,53,68,36,157.0
5846,71,80,45,196.0
5847,46,3,25,74.0
5848,36,6,72,114.0
5849,24,18,71,113.0
5850,11,54,28,93.0
5851,18,54,33,105.0
5852,56,8,97,161.0
5853,66,43,18,127.0
5854,83,46,62,191.0
5855,48,26,48,122.0
5856,51,46,15,112.0
5857,82,96,92,270.0
5858,67,43,20,130.0
5859,87,53,30,170.0
5860,97,18,40,155.0
5861,61,45,54,160.0
5862,72,45,90,207.0
5863,45,27,81,153.0
5864,2,47,1,50.0
5865,67,83,15,165.0
5866,0,79,24,103.0
5867,71,11,26,108.0
5868,37,94,22,153.0
5869,23,36,82,141.0
5870,25,0,65,90.0
5871,32,41,20,93.0
5872,48,80,36,164.0
5873,70,14,22,106.0
5874,63,27,46,136.0
5875,3,28,15,46.0
5876,95,27,44,166.0
5877,10,19,43,72.0
5878,93,66,65,224.0
5879,39,94,17,150.0
5880,45,75,15,135.0
5881,80,72,78,230.0
5882,4,9,28,41.0
5883,56,1,65,122.0
5884,45,86,89,220.0
5885,45,65,17,127.0
5886,11,47,35,93.0
5887,16,42,42,100.0
5888,83,95,70,248.0
5889,89,54,69,212.0
5890,88,62,84,234.0
5891,51,99,3,153.0
5892,74,93,93,260.0
5893,2,36,7,45.0
5894,96,32,67,195.0
5895,95,28,96,219.0
5896,70,15,77,162.0
5897,4,28,32,64.0
5898,42,25,50,117.0
5899,82,40,25,147.0
5900,7,54,19,80.0
5901,93,84,57,234.0
5902,81,33,25,139.0
5903,20,44,60,124.0
5904,81,30,33,144.0
5905,34,48,96,178.0
5906,86,89,0,175.0
5907,67,47,71,185.0
5908,53,54,34,141.0
5909,11,27,7,45.0
5910,64,65,10,139.0
5911,94,13,10,117.0
5912,29,85,11,125.0
5913,81,40,11,132.0
5914,48,13,32,93.0
5915,79,72,18,169.0
5916,21,59,58,138.0
5917,70,10,80,160.0
5918,98,80,39,217.0
5919,41,87,44,172.0
5920,28,17,10,55.0
5921,23,43,28,94.0
5922,15,10,27,52.0
5923,84,88,47,219.0
5924,8,60,91,159.0
5925,97,3,57,157.0
5926,20,71,90,181.0
5927,15,54,23,92.0
5928,90,77,65,232.0
5929,43,52,54,149.0
5930,25,90,6,121.0
5931,32,64,50,146.0
5932,8,4,12,24.0
5933,7,68,11,86.0
5934,83,13,61,157.0
5935,50,85,18,153.0
5936,92,96,66,254.0
5937,6,45,77,128.0
5938,74,84,62,220.0
5939,9,34,62,105.0
5940,32,83,93,208.0
5941,10,84,13,107.0
5942,8,93,6,107.0
5943,45,66,86,197.0
5944,99,67,39,205.0
5945,34,12,86,132.0
5946,98,26,80,204.0
5947,36,74,68,178.0
5948,44,99,41,184.0
5949,73,86,26,185.0
5950,15,15,65,95.0
5951,84,29,17,130.0
5952,44,42,39,125.0
5953,95,8,39,142.0
5954,60,94,88,242.0
5955,35,19,66,120.0
5956,49,25,15,89.0
5957,61,69,45,175.0
5958,0,66,29,95.0
5959,58,39,11,108.0
5960,8,89,17,114.0
5961,16,67,39,122.0
5962,86,8,88,182.0
5963,83,59,60,202.0
5964,15,65,77,157.0
5965,65,87,35,187.0
5966,57,87,80,224.0
5967,2,85,90,177.0
5968,34,27,69,130.0
5969,6,8,96,110.0
5970,71,6,34,111.0
5971,65,76,78,219.0
5972,49,80,43,172.0
5973,86,78,51,215.0
5974,38,98,34,170.0
5975,37,16,6,59.0
5976,5,71,1,77.0
5977,87,45,35,167.0
5978,89,91,90,270.0
5979,89,50,2,141.0
5980,50,87,70,207.0
5981,66,74,19,159.0
5982,19,52,33,104.0
5983,41,62,2,105.0
5984,45,59,71,175.0
5985,62,2,72,136.0
5986,99,98,77,274.0
5987,84,27,61,172.0
5988,91,27,81,199.0
5989,39,61,87,187.0
5990,27,25,51,103.0
5991,10,14,0,24.0
5992,5,58,16,79.0
5993,26,78,82,186.0
5994,54,11,24,89.0
5995,83,58,28,169.0
5996,68,51,64,183.0
5997,2,71,82,155.0
5998,86,75,95,256.0
5999,65,3,16,84.0
6000,74,80,2,156.0
6001,68,93,61,222.0
6002,74,65,43,182.0
6003,90,24,60,174.0
6004,9,57,79,145.0
6005,45,21,88,154.0
6006,73,21,87,181.0
6007,30,22,30,82.0
6008,14,98,25,137.0
6009,83,10,43,136.0
6010,5,54,68,127.0
6011,31,69,7,107.0
6012,12,62,78,152.0
6013,48,73,70,191.0
6014,90,36,41,167.0
6015,37,97,87,221.0
6016,51,65,76,192.0
6017,90,50,34,174.0
6018,54,92,1,147.0
6019,62,61,33,156.0
6020,62,29,59,150.0
6021,36,67,46,149.0
6022,34,75,70,179.0
6023,16,87,28,131.0
6024,74,40,71,185.0
6025,30,32,94,156.0
6026,65,55,15,135.0
6027,35,71,72,178.0
6028,37,14,26,77.0
6029,85,72,79,236.0
6030,94,73,32,199.0
6031,80,16,63,159.0
6032,48,51,68,167.0
6033,63,45,3,111.0
6034,32,56,58,146.0
6035,31,86,71,188.0
6036,6,78,47,131.0
6037,80,7,46,133.0
6038,58,54,86,198.0
6039,22,72,5,99.0
6040,90,3,94,187.0
6041,13,90,9,112.0
6042,63,43,68,174.0
6043,30,83,59,172.0
6044,32,72,65,169.0
6045,40,7,53,100.0
6046,22,62,7,91.0
6047,80,45,23,148.0
6048,86,23,36,145.0
6049,87,36,68,191.0
6050,7,0,1,8.0
6051,64,66,69,199.0
6052,66,82,81,229.0
6053,57,48,40,145.0
6054,5,58,30,93.0
6055,55,72,33,160.0
6056,42,30,33,105.0
6057,50,96,98,244.0
6058,83,11,67,161.0
6059,2,40,47,89.0
6060,20,24,37,81.0
6061,60,15,69,144.0
6062,52,0,58,110.0
6063,57,47,62,166.0
6064,57,43,93,193.0
6065,49,60,59,168.0
6066,52,84,45,181.0
6067,37,57,2,96.0
6068,34,62,38,134.0
6069,37,67,59,163.0
6070,45,62,34,141.0
6071,2,43,82,127.0
6072,80,3,1,84.0
6073,95,0,6,101.0
6074,4,22,14,40.0
6075,78,13,68,159.0
6076,5,48,98,151.0
6077,46,1,83,130.0
6078,64,89,15,168.0
6079,16,66,94,176.0
6080,92,19,92,203.0
6081,96,87,4,187.0
6082,99,65,26,190.0
6083,97,47,10,154.0
6084,76,10,19,105.0
6085,3,89,31,123.0
6086,51,13,39,103.0
6087,98,27,31,156.0
6088,45,1,91,137.0
6089,34,13,2,49.0
6090,58,91,79,228.0
6091,68,27,32,127.0
6092,49,68,45,162.0
6093,16,45,60,121.0
6094,94,86,34,214.0
6095,34,13,3,50.0
6096,3,55,17,75.0
6097,40,16,23,79.0
6098,49,38,4,91.0
6099,95,21,99,215.0
6100,16,66,79,161.0
6101,14,93,88,195.0
6102,14,1,88,103.0
6103,35,3,11,49.0
6104,40,51,20,111.0
6105,39,70,87,196.0
6106,74,38,95,207.0
6107,12,76,17,105.0
6108,99,37,29,165.0
6109,69,99,60,228.0
6110,37,20,44,101.0
6111,12,69,87,168.0
6112,87,19,83,189.0
6113,63,14,9,86.0
6114,19,88,81,188.0
6115,23,74,8,105.0
6116,68,16,57,141.0
6117,87,58,75,220.0
6118,93,45,31,169.0
6119,61,18,18,97.0
6120,35,18,14,67.0
6121,35,52,15,102.0
6122,17,51,97,165.0
6123,54,81,66,201.0
6124,71,55,14,140.0
6125,97,5,91,193.0
6126,31,73,62,166.0
6127,24,34,38,96.0
